feature,importance
volatility_63d,0.19351058861115836
market_beta,0.14816889515247386
max_drawdown_63d,0.11881566689504557
return_63d,0.09941611495680983
vix,0.08644329441381948
yield_curve_spread,0.05796719205770436
ten_year_yield,0.055983741888381434
two_year_yield,0.05237339506672916
average_correlation,0.05152057831090725
weighted_correlation,0.04890305731233323
largest_position_weight,0.04362656021398648
top_3_concentration,0.03306536600183925
number_of_assets,0.010205549118811802
